"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 21 15:57:22 GMT 2024","Sat Sep 21 15:57:23 GMT 2024","1288","chromium","Exercise/test/playwright_Advanced_Assignment.spec.ts","@exercise @smoke @regression","","","Test case: User login and order two products productName3 and productName5",""
"passed","Sat Sep 21 15:57:21 GMT 2024","Sat Sep 21 15:57:22 GMT 2024","1431","chromium","Exercise/test/playwright_Advanced_Assignment.spec.ts","@exercise @smoke @regression","","","Test case: User login and order two products productName1 and productName2",""
"passed","Sat Sep 21 15:57:25 GMT 2024","Sat Sep 21 15:57:26 GMT 2024","218","teardown","Exercise/dependencies-teardown.ts","","","","Clean up",""
"passed","Sat Sep 21 15:57:23 GMT 2024","Sat Sep 21 15:57:25 GMT 2024","1273","chromium","Exercise/test/playwright_Advanced_Assignment.spec.ts","@exercise @smoke @regression","","","Test case: User login and order two products productName4 and productName6",""
"passed","Sat Sep 21 15:57:18 GMT 2024","Sat Sep 21 15:57:20 GMT 2024","1612","setup","Exercise/dependencies-setup.ts","","","","Dependencies setup",""
